community,size,internal_edges,internal_density,average_internal_correlation,top_degree_tickers,weighted_modularity_global,unweighted_modularity_global
2,443,442,0.004514672686230248,0.3196579925339999,"RMT, MSTR, UUUU, AQMS, ACB",0.6363710611818205,0.680508423584317
4,410,1900,0.02266086230544457,0.6979988773787509,"GDV, EVT, AOD, CSQ, JRI",0.6363710611818205,0.680508423584317
10,269,6297,0.1746934472618321,0.754566404540007,"CATY, BUSE, FNB, TOWN, ASB",0.6363710611818205,0.680508423584317
18,268,268,0.00749063670411985,0.49348706321621755,"RVT, BC, CW, MOG-A, THO",0.6363710611818205,0.680508423584317
13,202,563,0.027732624008669524,0.6844415411236635,"PEO, BGR, HAL, ATMP, DVN",0.6363710611818205,0.680508423584317
8,180,497,0.0308504034761018,0.7124877941706398,"AAT, HIW, FRT, NNN, BXP",0.6363710611818205,0.680508423584317
9,178,177,0.011235955056179775,0.31118190336349105,"HQL, HQH, NTLA, XNCR, VKTX",0.6363710611818205,0.680508423584317
14,173,419,0.028162387417663665,0.6934467163850954,"BAC, SF, PRU, MET, AMP",0.6363710611818205,0.680508423584317
6,135,169,0.018684355997788834,0.6381104715309066,"PH, ITT, TKR, ITW, ETN",0.6363710611818205,0.680508423584317
5,98,146,0.030717441615821586,0.6358817366508057,"MKSI, MCHP, AMAT, LRCX, MPWR",0.6363710611818205,0.680508423584317
11,84,94,0.026965002868617326,0.6017620463066541,"AVNT, LEA, MTX, EMN, PAG",0.6363710611818205,0.680508423584317
1,76,95,0.03333333333333333,0.6281664297388811,"ITUB, FCX, STLD, GGAL, PAM",0.6363710611818205,0.680508423584317
32,75,158,0.05693693693693694,0.7112689514512935,"PHM, TMHC, MTH, MHO, LEN",0.6363710611818205,0.680508423584317
23,73,335,0.12747336377473364,0.7327202262580614,"IDA, LNT, DTE, CMS, ATO",0.6363710611818205,0.680508423584317
28,72,197,0.0770735524256651,0.705007437623021,"NZF, IQI, NAD, VMO, VKQ",0.6363710611818205,0.680508423584317
26,62,161,0.08514013749338974,0.6802808012263543,"ASA, PAAS, KGC, WPM, AGI",0.6363710611818205,0.680508423584317
22,58,57,0.034482758620689655,0.5282041840976002,"NOW, MSFT, HUBS, FIVN, INTU",0.6363710611818205,0.680508423584317
24,53,52,0.03773584905660377,0.46005929640812293,"BABA, EMF, JD, TDF, BIDU",0.6363710611818205,0.680508423584317
12,50,88,0.07183673469387755,0.6337249237885902,"RITM, BXMT, ADAM, STWD, ARI",0.6363710611818205,0.680508423584317
35,50,68,0.05551020408163265,0.5775094602678443,"ARCC, SLRC, MAIN, PFLT, TCPC",0.6363710611818205,0.680508423584317
27,40,39,0.05,0.5549191159659822,"PVH, SHOO, AEO, GAP, COLM",0.6363710611818205,0.680508423584317
42,36,35,0.05555555555555555,0.5242456570844315,"MDLZ, GIS, PEP, KO, PG",0.6363710611818205,0.680508423584317
0,29,30,0.07389162561576355,0.5563507959443577,"A, TMO, IQV, DHR, ABT",0.6363710611818205,0.680508423584317
43,21,20,0.09523809523809523,0.5733748842814216,"BJRI, DRI, DIN, WEN, CAKE",0.6363710611818205,0.680508423584317
45,21,21,0.1,0.5988072246404167,"MCO, RELX, SPGI, ICE, TRU",0.6363710611818205,0.680508423584317
47,21,20,0.09523809523809523,0.5719802041709832,"SYK, ISRG, MA, GPN, PODD",0.6363710611818205,0.680508423584317
3,21,30,0.14285714285714285,0.7014469654100087,"DAL, CUK, UAL, ALK, RCL",0.6363710611818205,0.680508423584317
25,19,25,0.14619883040935672,0.6790190813121629,"ING, BCS, SAN, LYG, BF-B",0.6363710611818205,0.680508423584317
19,17,16,0.11764705882352941,0.5459181604110876,"ACN, PAYX, ADP, DOX, GIB",0.6363710611818205,0.680508423584317
49,17,16,0.11764705882352941,0.3823738265809731,"SBLK, CMRE, SHIP, GLBS, PXS",0.6363710611818205,0.680508423584317
41,16,15,0.125,0.3426075412497282,"XYZ, W, CHGG, GDC, JXG",0.6363710611818205,0.680508423584317
46,14,16,0.17582417582417584,0.6294302578357653,"MGM, BYD, WYNN, CZR, LVS",0.6363710611818205,0.680508423584317
37,13,12,0.15384615384615385,0.5866646123559285,"TNK, STNG, TK, FRO, DHT",0.6363710611818205,0.680508423584317
16,13,12,0.15384615384615385,0.5367469506779322,"UHS, THC, ENSG, CHE, HCA",0.6363710611818205,0.680508423584317
40,13,12,0.15384615384615385,0.5845527357962398,"GD, TXT, LMT, CACI, BAH",0.6363710611818205,0.680508423584317
15,12,12,0.18181818181818182,0.5694421426384909,"ELV, COR, UNH, CAH, MCK",0.6363710611818205,0.680508423584317
33,12,12,0.18181818181818182,0.6247741991959127,"MXF, PAC, ASR, FMX, OMAB",0.6363710611818205,0.680508423584317
53,11,10,0.18181818181818182,0.4367374002522807,"KFY, RHI, KELYA, DGZ, KELYB",0.6363710611818205,0.680508423584317
17,11,10,0.18181818181818182,0.4808167454176117,"SAFT, HMN, UVE, EIG, HRTG",0.6363710611818205,0.680508423584317
20,11,10,0.18181818181818182,0.3854244997815455,"FNLC, ACNB, PPCB, CHMG, OVBC",0.6363710611818205,0.680508423584317
36,9,8,0.2222222222222222,0.3933694048834,"SHBI, PEBK, ARL, WEYS, FVCB",0.6363710611818205,0.680508423584317
48,7,4,0.19047619047619047,0.3408521827934976,"CARE, DLX, CBZ, QUAD, HURN",0.6363710611818205,0.680508423584317
59,7,6,0.2857142857142857,0.4062969302203521,"WMK, SFM, KR, VLGEA, IMKTA",0.6363710611818205,0.680508423584317
50,7,7,0.3333333333333333,0.6455235698611428,"RSG, CTAS, WM, WCN, CWST",0.6363710611818205,0.680508423584317
30,6,5,0.3333333333333333,0.4962798338867712,"BCH, BSAC, AKO-B, ENIC, AKO-A",0.6363710611818205,0.680508423584317
7,6,5,0.3333333333333333,0.5863154325249899,"GPC, AZO, LKQ, ORLY, MNRO",0.6363710611818205,0.680508423584317
34,6,5,0.3333333333333333,0.43956751319053533,"PRDO, GHC, LOPE, STRA, APEI",0.6363710611818205,0.680508423584317
57,5,4,0.4,0.5584955466451753,"IIF, IBN, IFN, RDY, HDB",0.6363710611818205,0.680508423584317
39,4,3,0.5,0.5522724611503412,"NVS, GSK, SNY, AZN",0.6363710611818205,0.680508423584317
52,4,2,0.3333333333333333,0.30442889124394834,"SENEA, CZNC, SENEB, SPOK",0.6363710611818205,0.680508423584317
21,3,2,0.6666666666666666,0.6191792275158433,"SHEN, TDS, AD",0.6363710611818205,0.680508423584317
29,3,2,0.6666666666666666,0.3162692983374017,"AGM, AGM-A, KG",0.6363710611818205,0.680508423584317
44,3,2,0.6666666666666666,0.15582276799420713,"BHRB, OBT, DGICB",0.6363710611818205,0.680508423584317
31,2,1,1.0,0.5515722749820675,"CCRN, AMN",0.6363710611818205,0.680508423584317
38,2,1,1.0,0.4100748658854802,"ATLO, RGCO",0.6363710611818205,0.680508423584317
51,2,1,1.0,0.2579786465478807,"CZFS, VABK",0.6363710611818205,0.680508423584317
55,2,1,1.0,0.4687748779123076,"PFIS, FDBC",0.6363710611818205,0.680508423584317
54,2,1,1.0,0.4227788004279171,"TSBK, EML",0.6363710611818205,0.680508423584317
56,2,1,1.0,0.22912105002861294,"FUNC, FXNC",0.6363710611818205,0.680508423584317
58,2,1,1.0,0.44867802148573804,"UNTY, HWBK",0.6363710611818205,0.680508423584317
