network,nodes,edges,density,average_degree,average_clustering,assortativity,average_path_lcc,diameter_lcc,largest_cc_size,louvain_communities,modularity
Financial network,3461,13210,0.0022062519937269625,7.63363189829529,0.1485320096932769,0.25452087712382093,6.975581917752395,24,3461,60,0.6363710611818205
"ER same n,m rep 1",3461,13210,0.0022062519937269625,7.63363189829529,0.0019267646607630487,0.01359216883067268,4.2419541544277015,7,3458,28,0.3246747010528692
BA similar avg degree rep 1,3461,13828,0.002309466507892236,7.990754117307136,0.013459866846358335,-0.036613661077849635,3.5879803524992777,5,3461,17,0.3220819447639243
Configuration model rep 1,3461,12169,0.002032390651904876,7.03207165559087,0.05491095822677822,-0.0627054703887163,3.5583414652685326,8,3277,114,0.3017491235970237
"ER same n,m rep 2",3461,13210,0.0022062519937269625,7.63363189829529,0.0022948617018719703,0.002891609426796706,4.241641865688974,7,3459,23,0.3245435035623805
BA similar avg degree rep 2,3461,13828,0.002309466507892236,7.990754117307136,0.013968809778279823,-0.04623049759257802,3.5757315620965575,6,3461,24,0.3061361764967493
Configuration model rep 2,3461,12238,0.0020439146025155617,7.071944524703842,0.05798840309796745,-0.05994344221702569,3.53742300993639,8,3263,118,0.3024052785040906
"ER same n,m rep 3",3461,13210,0.0022062519937269625,7.63363189829529,0.0020217150616433917,-0.007091760588115634,4.234405179083801,7,3460,21,0.3248197434902676
BA similar avg degree rep 3,3461,13828,0.002309466507892236,7.990754117307136,0.014295651953198792,-0.03617988355799161,3.5731410114020306,6,3461,17,0.32411460108398993
Configuration model rep 3,3461,12187,0.0020353968998902718,7.042473273620341,0.05728416744438156,-0.05774646486040271,3.5479410763498676,8,3275,116,0.30305805090659077
