network,model_type,repetition,nodes,edges,density,min_degree,max_degree,average_degree,average_clustering,assortativity,connected,largest_cc_size,average_path_lcc,diameter_lcc,louvain_communities_unweighted,modularity_unweighted,louvain_communities_weighted,modularity_weighted,degree_sequence_error_mean,degree_sequence_error_max
Financial network,Financial network,0,3461,13210,0.0022062519937269625,1,361,7.63363189829529,0.1485320096932769,0.25452087712382093,True,3461,6.975581917752395,24,78,0.6810059190586353,60.0,0.6363710611818205,,
"ER same n,m rep 1","ER same n,m",1,3461,13210,0.0022062519937269625,0,19,7.63363189829529,0.0022948617018719703,0.002891609426796706,False,3459,4.241641865688974,7,23,0.3245435035623805,,,,
BA similar avg degree rep 1,BA similar avg degree,1,3461,13828,0.002309466507892236,4,199,7.990754117307136,0.013968809778279823,-0.04623049759257802,True,3461,3.5757315620965575,6,24,0.3061361764967493,,,,
Configuration model rep 1,Configuration model,1,3461,12238,0.0020439146025155617,1,249,7.071944524703842,0.05798840309796745,-0.05994344221702569,False,3263,3.53742300993639,8,118,0.3024052785040906,,,0.5616873735914476,112.0
"ER same n,m rep 2","ER same n,m",2,3461,13210,0.0022062519937269625,0,22,7.63363189829529,0.0020217150616433917,-0.007091760588115634,False,3460,4.234405179083801,7,21,0.3248197434902676,,,,
BA similar avg degree rep 2,BA similar avg degree,2,3461,13828,0.002309466507892236,4,225,7.990754117307136,0.014295651953198792,-0.03617988355799161,True,3461,3.5731410114020306,6,17,0.32411460108398993,,,,
Configuration model rep 2,Configuration model,2,3461,12187,0.0020353968998902718,1,241,7.042473273620341,0.05728416744438156,-0.05774646486040271,False,3275,3.5479410763498676,8,116,0.30305805090659077,,,0.5911586246749494,120.0
"ER same n,m rep 3","ER same n,m",3,3461,13210,0.0022062519937269625,1,17,7.63363189829529,0.001965607754057199,-0.012757806513734104,True,3461,4.243323707772654,8,24,0.3207364640716178,,,,
BA similar avg degree rep 3,BA similar avg degree,3,3461,13828,0.002309466507892236,4,167,7.990754117307136,0.01406001499501965,-0.04310291578010294,True,3461,3.589258508934402,6,17,0.3183166055817457,,,,
Configuration model rep 3,Configuration model,3,3461,12176,0.002033559748343641,1,253,7.036116729268997,0.05646784408367531,-0.06511692481371015,False,3306,3.570154480049568,8,97,0.3033233130738222,,,0.597515169026293,108.0
