ticker,degree,weighted_degree,betweenness,eigenvector,community,rank_degree,rank_weighted_degree,rank_betweenness,rank_eigenvector
RMT,361,136.23695063585467,0.22948615278377865,8.043480019469234e-05,42,1.0,1.0,3.0,359.0
RVT,211,113.35441406086063,0.24721704307753992,0.0005461034087463371,4,2.0,4.0,2.0,258.0
CATY,156,121.5206393397255,0.01090613863594634,0.11452023524472398,40,3.0,2.0,105.0,1.0
BUSE,154,116.5314598181896,0.028348170844623235,0.11044955794525683,40,4.0,3.0,37.0,4.0
GDV,147,99.95419252349127,0.42455132870438334,0.00010232173311730059,29,5.0,16.0,1.0,343.0
FNB,141,108.20589308345238,0.005570147080178297,0.10641788665995137,40,6.0,6.0,177.0,15.0
TOWN,140,107.53086956204905,0.01467705328562123,0.10894147133650284,40,7.0,7.0,76.0,7.0
ASB,139,108.51864123032195,0.0028674980027337173,0.11045764862369535,40,8.0,5.0,344.0,3.0
ABCB,138,107.33365156136759,0.00299018895673318,0.11007588175663098,40,9.0,8.0,339.0,6.0
FULT,134,105.20546595505182,0.0028039751656980523,0.11061813183572398,40,10.0,9.0,347.0,2.0
BANR,133,102.61598952976398,0.0028502313423311378,0.10850529661022432,40,11.0,11.0,345.0,9.0
UBSI,132,104.08339117235319,0.0022991399919253886,0.11043443284357712,40,12.0,10.0,358.0,5.0
HWC,132,101.78916183778134,0.002883838610170949,0.10554291857680302,40,12.0,12.0,343.0,19.0
CTBI,130,98.6036109939561,0.007973598289526993,0.10333778764810794,40,14.0,20.0,131.0,28.0
HOMB,130,101.2812186877707,0.0023044363559347044,0.10782751047593665,40,14.0,13.0,357.0,11.0
FFBC,129,101.13720961483236,0.0015596290052885048,0.10866048159914089,40,16.0,14.0,411.0,8.0
WTFC,128,97.05049484630793,0.002618869043491218,0.09920982164363251,40,17.0,23.0,349.0,41.0
UCB,128,99.92836237770685,0.005893481998167551,0.10717086974116471,40,17.0,17.0,169.0,14.0
WBS,128,97.42404699588047,0.003996892162781681,0.10073604284984354,40,17.0,22.0,255.0,38.0
WSBC,128,99.67400733169397,0.0004922825591494284,0.10768615218399105,40,17.0,18.0,744.0,13.0
FRME,128,99.9594893650585,0.0007150906393797591,0.10777333228626154,40,17.0,15.0,600.0,12.0
ONB,127,97.45059951561828,0.0033343714987320167,0.10607965528776239,40,22.0,21.0,331.0,17.0
FCF,127,99.13641686168339,0.0004801809862794788,0.10785096784097674,40,22.0,19.0,748.0,10.0
PEBO,126,96.28087707047617,0.0014393765326022388,0.10279651811980933,40,24.0,25.0,434.0,30.0
HOPE,124,96.84146939055593,0.0006170155806553283,0.10636003850678977,40,25.0,24.0,615.0,16.0
EFSC,124,95.26144895378171,0.0004708491582747496,0.10512549337030096,40,25.0,27.0,749.0,20.0
UVSP,123,94.56400510715041,0.00045699026876187083,0.10397716263821198,40,27.0,29.0,752.0,25.0
SRCE,123,94.73508586626059,0.0007978229077642517,0.10381488812774568,40,27.0,28.0,591.0,26.0
SFNC,123,95.78436830570996,0.0006214126294830362,0.10595199577348227,40,27.0,26.0,613.0,18.0
GSBC,122,92.47144981532854,0.0014991690817372622,0.09899140577391595,40,30.0,36.0,413.0,42.0
PNFP,121,93.07266170157406,0.0017461998103579252,0.10159626281001649,40,31.0,31.0,386.0,34.0
CFG,121,92.5472474875216,0.0019422918588770006,0.09154162649368987,40,31.0,35.0,378.0,65.0
RF,121,92.78559636997558,0.0020597515452888742,0.09271843639711853,40,31.0,33.0,365.0,61.0
AUB,120,93.04725495843292,0.0039878669812976626,0.10421787442358224,40,34.0,32.0,256.0,23.0
WSFS,120,91.93382668304584,0.00036959463859249166,0.10318032970271691,40,34.0,38.0,763.0,29.0
STBA,120,93.45307128894018,0.00020515884739030597,0.10407905672565315,40,34.0,30.0,1130.0,24.0
SBCF,119,91.40087751156918,0.0016008731118677612,0.10200802326657868,40,37.0,40.0,405.0,33.0
TRMK,119,92.63151008062933,0.00037456325485080025,0.10454511438949751,40,37.0,34.0,761.0,21.0
TCBK,119,92.13215223146872,0.0001979554449467955,0.1036470176103278,40,37.0,37.0,1131.0,27.0
IBOC,119,89.64192230120507,0.0020836281516650023,0.09923907644986953,40,37.0,43.0,364.0,40.0
QCRH,119,88.33671348672016,0.0013181959302982437,0.09848899460601716,40,37.0,48.0,439.0,45.0
RNST,118,91.9307885446008,0.0003709144954068243,0.1043480934009701,40,42.0,39.0,762.0,22.0
MBWM,118,89.57971963748125,0.0005856732880670382,0.09892581242053591,40,42.0,45.0,623.0,43.0
PFS,118,89.2596193121823,0.007477058912494406,0.0986609773681726,40,42.0,47.0,140.0,44.0
NWBI,118,89.97062117816002,0.0013534164891222105,0.10122778462274669,40,42.0,42.0,438.0,36.0
UMBF,117,89.41631537254854,0.001975395926286238,0.1012594088199746,40,46.0,46.0,376.0,35.0
NBTB,117,90.6693916035514,0.00048281036204207,0.10270820701945292,40,46.0,41.0,745.0,31.0
