source,target,correlation,distance,edge_type
GOOG,GOOGL,0.9954295603255324,0.09560794605541502,MST+Strong
LBRDA,LBRDK,0.9933120675080043,0.11565407465364745,MST+Strong
Z,ZG,0.9925462091184284,0.12209660831957299,MST+Strong
CCL,CUK,0.9874729935987345,0.1582845943310054,MST+Strong
LBTYA,LBTYK,0.9788154009313853,0.20583779569658578,MST+Strong
LEN,LEN-B,0.9785891137406478,0.20693422268610945,MST+Strong
UA,UAA,0.9775740228528278,0.2117827998075963,MST+Strong
CENT,CENTA,0.9763346020001803,0.2175564202675697,MST+Strong
BRK-A,BRK-B,0.974141264367585,0.22741475604021402,MST+Strong
FWONA,FWONK,0.973326411777734,0.23097007694619645,MST+Strong
BATRA,BATRK,0.9715980467031137,0.238335701467012,MST+Strong
NWS,NWSA,0.9715740731788194,0.2384362674644133,MST+Strong
PBR,PBR-A,0.9713216191592771,0.23949271738707606,MST+Strong
LILA,LILAK,0.9569193444111138,0.29353247039769276,MST+Strong
PAA,PAGP,0.95685216744724,0.2937612382625046,MST+Strong
CLM,CRF,0.942660644540999,0.3386424529175308,MST+Strong
CTBB,CTDD,0.9370783562934292,0.35474397445642636,MST+Strong
HEI,HEI-A,0.9298846440270414,0.37447391357198323,MST+Strong
CHTR,LBRDK,0.9242633864218885,0.3891956155408523,MST+Strong
HPF,HPI,0.9201594765674493,0.3996011096895269,MST+Strong
CHTR,LBRDA,0.9197113635516377,0.4007209414252324,Strong
CHI,CHY,0.9190257243714479,0.40242831816002234,MST+Strong
HQH,HQL,0.9143582286735223,0.4138641596622681,MST+Strong
BMA,GGAL,0.9143214205258849,0.41395308785927676,MST+Strong
EQR,UDR,0.9119482737569552,0.41964681874892085,MST+Strong
AVB,EQR,0.9116385373318365,0.4203842591443297,MST+Strong
FRT,REG,0.9107687887927991,0.4224481298507567,MST+Strong
NCV,NCZ,0.910447059209051,0.42320902823769957,MST+Strong
AMAT,LRCX,0.9068754308780783,0.43156591413577067,MST+Strong
BRX,KIM,0.9065268018907136,0.43237298275744857,MST+Strong
FITB,RF,0.9064828464539931,0.4324746317323292,MST+Strong
CFG,FITB,0.9040605905695918,0.43803974575467064,MST+Strong
MTG,RDN,0.9039758044277637,0.43823326111155986,MST+Strong
CFG,KEY,0.9034268560161317,0.43948411571720836,MST+Strong
RMT,RVT,0.9026924484812175,0.44115201805904153,MST+Strong
AVB,UDR,0.902226686418679,0.4422065435547534,Strong
CFG,RF,0.9017846007492563,0.44320514268393535,Strong
HPF,HPS,0.9006225243440004,0.44581941558438126,MST+Strong
MA,V,0.8980169025702093,0.4516261671555153,MST+Strong
BF-A,BF-B,0.8972812864229991,0.45325205697713256,MST+Strong
ESS,UDR,0.8968442125158876,0.45421533986450163,MST+Strong
MET,PRU,0.8966240276313869,0.4546998402652305,MST+Strong
PFL,PFN,0.8965142972114285,0.4549411012176664,MST+Strong
EQR,ESS,0.8949066976204676,0.4584611267698329,Strong
FFC,FLC,0.8948767900243307,0.4585263568774848,MST+Strong
DHI,LEN,0.8944430665990919,0.4594712905087936,MST+Strong
FITB,KEY,0.8926085386987879,0.46344678508154985,Strong
HPI,HPS,0.8921824651626619,0.46436523305979344,Strong
BBAR,GGAL,0.8920622453425305,0.46462405158895825,MST+Strong
KYN,TYG,0.8909031514749579,0.4671120818926483,MST+Strong
MUFG,SMFG,0.8904404570121758,0.46810157655753354,MST+Strong
AVB,ESS,0.8900407178681965,0.468954757160653,Strong
DAL,UAL,0.8896868174625991,0.46970880881116306,MST+Strong
CPT,MAA,0.8894695411544516,0.47017115786817115,MST+Strong
CMS,LNT,0.8880050247962084,0.4732757657091511,MST+Strong
EGP,FR,0.887692558876234,0.4739355254119826,MST+Strong
NAD,NEA,0.8856008514299782,0.478328649716953,MST+Strong
MLM,VMC,0.8853105159037629,0.4789352442580043,MST+Strong
DHI,LEN-B,0.8850831257458511,0.4794097918360635,Strong
BBAR,BMA,0.884963458024697,0.4796593415650382,Strong
LEN,PHM,0.883640776497859,0.4824090038590511,MST+Strong
KEY,RF,0.8830744682029976,0.48358149633128517,Strong
CMS,WEC,0.8817500131969418,0.48631262949476894,MST+Strong
BAC,JPM,0.8805376998122006,0.4887991411363145,MST+Strong
KLAC,LRCX,0.8804248509766287,0.4890299561854494,MST+Strong
DHI,PHM,0.8795748325717933,0.490765050565353,Strong
FITB,PNC,0.8793495059690769,0.4912239693478385,MST+Strong
FNB,WTFC,0.8779252020949789,0.4941149621394217,MST+Strong
FITB,TFC,0.8778355048973744,0.4942964598348356,MST+Strong
AD,TDS,0.8772251633138942,0.49552968969801553,MST+Strong
LEN-B,PHM,0.8772082394205706,0.49556384165802375,Strong
NNN,O,0.8771035681208449,0.49577501324523227,MST+Strong
CFG,HBAN,0.8769420129413763,0.49610077012361853,MST+Strong
BHP,RIO,0.8761773007934478,0.4976398280012407,MST+Strong
CHSCM,CHSCN,0.8761570543140745,0.4976805113442267,MST+Strong
BP,SHEL,0.8761557907176579,0.49768305030881266,MST+Strong
HBAN,KEY,0.8756282231193476,0.4987419711246535,Strong
BBD,ITUB,0.8756079678253744,0.4987825822432567,MST+Strong
CFG,PNC,0.8745853096618507,0.5008286939426481,Strong
EVT,GDV,0.8741673190118203,0.5016625977450974,MST+Strong
HBAN,RF,0.8741669815408085,0.5016632704497938,Strong
FITB,HBAN,0.8740275855416474,0.5019410611981303,Strong
CPT,UDR,0.8734348450868471,0.5031205718575874,MST+Strong
AEE,CMS,0.8732683659863169,0.5034513561679681,MST+Strong
CATY,UCB,0.8724747160086588,0.505025314199875,MST+Strong
BRX,KRG,0.8724669767102199,0.5050406385426427,MST+Strong
SLG,VNO,0.8718782864234818,0.5062049260458026,MST+Strong
AEE,LNT,0.870789113871991,0.5083520160833613,Strong
CATY,UBSI,0.8705802528848698,0.5087627091584644,MST+Strong
ASB,HWC,0.8704081083011344,0.5091009559976599,MST+Strong
ASB,FNB,0.8703301670694795,0.5092540288117915,MST+Strong
CUZ,HIW,0.8702017403493947,0.5095061523683602,MST+Strong
HLT,MAR,0.8697863902311186,0.510320702634885,MST+Strong
CATY,HOPE,0.8695965272348918,0.5106926135457771,MST+Strong
CFG,TFC,0.8695942605222412,0.5106970520333142,Strong
NCLH,RCL,0.8692248687763237,0.5114198494850906,MST+Strong
AMAT,KLAC,0.8684288527721044,0.5129739705441118,Strong
ASB,CATY,0.8683113019012504,0.5132030750078367,MST+Strong
BGR,PEO,0.8682105123211615,0.5133994306168219,MST+Strong
CATY,FULT,0.8681629933609641,0.5134919797602215,MST+Strong
BUSE,TOWN,0.8681510471783233,0.5135152438276331,MST+Strong
NUE,STLD,0.86780339320357,0.5141918062288234,MST+Strong
FULT,ONB,0.8676261187123032,0.5145364540782252,MST+Strong
PNC,RF,0.867412985339857,0.5149505115254145,Strong
GLO,GLQ,0.8673646148026585,0.5150444353593999,MST+Strong
MCO,SPGI,0.867245444970836,0.5152757611787382,MST+Strong
CATY,HWC,0.8671662776464025,0.5154293789717413,Strong
LNT,WEC,0.8670840025776412,0.5155889785912007,Strong
ASB,FULT,0.8665082700859895,0.5167044221099921,Strong
GHY,ISD,0.8664684069510864,0.5167815651683283,MST+Strong
FULT,UCB,0.866337671136187,0.5170344840797624,Strong
PNC,TFC,0.8648135782764995,0.5199738872741602,Strong
CATY,HOMB,0.8645745185766833,0.5204334374794084,MST+Strong
PFG,PRU,0.8644343738182093,0.5207026525413342,MST+Strong
VTR,WELL,0.8641387511940327,0.5212700812553264,MST+Strong
CCL,RCL,0.8640040161547967,0.5215284917340629,MST+Strong
TOWN,UBSI,0.8635157973215133,0.5224637837754627,MST+Strong
GS,MS,0.8634982837570379,0.5224973038073252,MST+Strong
DEI,KRC,0.8632439576578058,0.5229838283201388,MST+Strong
FULT,TRMK,0.8630919301804348,0.5232744400781776,MST+Strong
RSG,WM,0.8629807564886174,0.5234868546800056,MST+Strong
BAC,C,0.8627852296666936,0.523860230086817,MST+Strong
TFC,USB,0.8626257156502934,0.5241646389250357,MST+Strong
ESNT,MTG,0.8624514367301612,0.5244970224316603,MST+Strong
ASB,ONB,0.8622764476918424,0.5248305484785686,Strong
BSBR,ITUB,0.8621648083667414,0.5250432203795391,MST+Strong
KEY,TFC,0.8617921426172073,0.5257525223577967,Strong
RUSHA,RUSHB,0.8617208486178662,0.525888108597511,MST+Strong
MTH,PHM,0.8615350387623806,0.5262413158193101,MST+Strong
CATY,FFBC,0.8614277936013949,0.5264450710161604,MST+Strong
FULT,UBSI,0.8613251212658672,0.5266400644351562,Strong
UBSI,UCB,0.8612056028803688,0.5268669606639443,Strong
BUSE,SRCE,0.8609334227317068,0.5273833089287017,MST+Strong
VKQ,VMO,0.8608827751259668,0.5274793358493454,MST+Strong
CBU,NBTB,0.860300180964845,0.528582669097569,MST+Strong
HOMB,UBSI,0.8602917143327105,0.5285986864669445,Strong
CCL,NCLH,0.8601713532705195,0.5288263358220362,Strong
CUK,RCL,0.8601196602547517,0.5289240772459659,Strong
RNP,RQI,0.8599060558071594,0.5293277702763017,MST+Strong
ETY,EXG,0.8597848162607595,0.5295567651144502,MST+Strong
AUB,FULT,0.8597792676128054,0.529567242920471,MST+Strong
HAL,SLB,0.8595757954102161,0.5299513271797399,MST+Strong
BUSE,CATY,0.8592977889690537,0.5304756564272224,Strong
HBAN,TFC,0.8588585498624969,0.5313030211423668,Strong
FRT,KIM,0.8588488540016809,0.5313212700397362,MST+Strong
BUSE,FFBC,0.8588108866094343,0.5313927236810186,Strong
BANR,CATY,0.8587706552093763,0.531468427642929,MST+Strong
CUBE,EXR,0.8586187470220151,0.5317541781274218,MST+Strong
BDJ,GDV,0.8585661911887559,0.531853003773118,MST+Strong
ETG,EVT,0.8585199216039737,0.5319399936008314,MST+Strong
