ticker,degree,weighted_degree,betweenness,eigenvector,community
RMT,361,136.23695063585467,0.22948615278377865,8.043480019469234e-05,42
RVT,211,113.35441406086063,0.24721704307753992,0.0005461034087463371,4
CATY,156,121.5206393397255,0.01090613863594634,0.11452023524472398,40
BUSE,154,116.5314598181896,0.028348170844623235,0.11044955794525683,40
GDV,147,99.95419252349127,0.42455132870438334,0.00010232173311730059,29
FNB,141,108.20589308345238,0.005570147080178297,0.10641788665995137,40
TOWN,140,107.53086956204905,0.014677053285621229,0.10894147133650284,40
ASB,139,108.51864123032195,0.0028674980027337178,0.11045764862369535,40
ABCB,138,107.33365156136759,0.0029901889567331796,0.11007588175663098,40
FULT,134,105.20546595505182,0.0028039751656980523,0.11061813183572398,40
BANR,133,102.61598952976398,0.0028502313423311378,0.10850529661022432,40
UBSI,132,104.08339117235319,0.0022991399919253886,0.11043443284357712,40
HWC,132,101.78916183778134,0.002883838610170949,0.10554291857680302,40
CTBI,130,98.6036109939561,0.007973598289526991,0.10333778764810794,40
HOMB,130,101.2812186877707,0.0023044363559347044,0.10782751047593665,40
FFBC,129,101.13720961483236,0.0015596290052885048,0.10866048159914089,40
WTFC,128,97.05049484630793,0.0026188690434912182,0.09920982164363251,40
UCB,128,99.92836237770685,0.005893481998167551,0.10717086974116471,40
WBS,128,97.42404699588047,0.0039968921627816815,0.10073604284984354,40
WSBC,128,99.67400733169397,0.0004922825591494283,0.10768615218399105,40
FRME,128,99.9594893650585,0.0007150906393797591,0.10777333228626154,40
ONB,127,97.45059951561828,0.0033343714987320162,0.10607965528776239,40
FCF,127,99.13641686168339,0.0004801809862794787,0.10785096784097674,40
PEBO,126,96.28087707047617,0.0014393765326022392,0.10279651811980933,40
HOPE,124,96.84146939055593,0.0006170155806553282,0.10636003850678977,40
EFSC,124,95.26144895378171,0.0004708491582747495,0.10512549337030096,40
UVSP,123,94.56400510715041,0.00045699026876187083,0.10397716263821198,40
SRCE,123,94.73508586626059,0.0007978229077642519,0.10381488812774568,40
SFNC,123,95.78436830570996,0.0006214126294830361,0.10595199577348227,40
GSBC,122,92.47144981532854,0.0014991690817372622,0.09899140577391595,40
PNFP,121,93.07266170157406,0.0017461998103579252,0.10159626281001649,40
CFG,121,92.5472474875216,0.0019422918588770004,0.09154162649368987,40
RF,121,92.78559636997558,0.0020597515452888742,0.09271843639711853,40
AUB,120,93.04725495843292,0.003987866981297662,0.10421787442358224,40
WSFS,120,91.93382668304584,0.0003695946385924916,0.10318032970271691,40
STBA,120,93.45307128894018,0.00020515884739030597,0.10407905672565315,40
SBCF,119,91.40087751156918,0.0016008731118677612,0.10200802326657868,40
TRMK,119,92.63151008062933,0.00037456325485080025,0.10454511438949751,40
TCBK,119,92.13215223146872,0.00019795544494679546,0.1036470176103278,40
IBOC,119,89.64192230120507,0.0020836281516650023,0.09923907644986953,40
QCRH,119,88.33671348672016,0.0013181959302982437,0.09848899460601716,40
RNST,118,91.9307885446008,0.0003709144954068243,0.1043480934009701,40
MBWM,118,89.57971963748125,0.0005856732880670382,0.09892581242053591,40
PFS,118,89.2596193121823,0.007477058912494406,0.0986609773681726,40
NWBI,118,89.97062117816002,0.0013534164891222105,0.10122778462274669,40
UMBF,117,89.41631537254854,0.001975395926286238,0.1012594088199746,40
NBTB,117,90.6693916035514,0.00048281036204206996,0.10270820701945292,40
GBCI,116,89.61018986217282,0.001593317953815039,0.10251615104544834,40
CNOB,115,85.9568312494981,0.00043507093103003434,0.0965586177474412,40
FFIN,115,88.00337632358433,0.00035416247482705207,0.10110265055668578,40
VLY,115,87.83628256294936,0.0005235513458545337,0.09933298210030866,40
FITB,115,87.68309582973646,0.00181168358789875,0.08726823990037741,40
KEY,114,86.46546986027593,0.005350483802787771,0.08604590296055707,40
HQL,114,39.02138164336174,0.09420641803989592,1.7180648096678675e-07,20
BOKF,113,85.91800623810015,0.0016597771482449017,0.09503637318626026,40
EWBC,113,86.00839695302668,0.0015361563478970591,0.09211449923642406,40
BKU,113,85.64348061782214,0.0011507183100230144,0.09497465380865044,40
HBNC,111,82.55481916059365,7.946749132315474e-06,0.09515223357890532,40
CFR,111,84.7871142258654,0.0017563766850281254,0.09378003571955168,40
CVBF,110,84.11351776143978,0.0007405932666684031,0.09687915907821067,40
SSB,110,84.49859320618502,0.00021609365557457487,0.09787642008174385,40
FIBK,109,83.28500489134808,0.00014378824998604475,0.09795320886025971,40
FISI,109,80.92695301943422,0.0010091132563623782,0.09138018264857528,40
DCOM,109,80.46405262632707,0.000589311072444155,0.09334269961392147,40
HFWA,108,82.7043225509166,0.00015309811789480262,0.09639748616509446,40
HBAN,108,82.26177801842739,0.001192900105228602,0.08408261938654917,40
BBT,108,80.86199656543174,0.0001219840079489393,0.09425480663116995,40
FBNC,108,81.42964447342055,0.00014295934336992053,0.09401536434044894,40
PNC,107,80.9898449743495,0.05218692400543952,0.079766025377818,40
TFC,106,80.26422061248454,0.0011613503665558011,0.08071470168435013,40
OCFC,105,78.62022567397722,0.0001222700592327201,0.09164059193544044,40
CBU,105,80.93728720118695,0.00016061616185588623,0.0953483580031223,40
PB,105,80.21496264915145,0.0009866543971255035,0.09295150698728216,40
INDB,104,79.01049596709811,0.00013993971178864514,0.0940517196392195,40
CAC,103,77.00865869318044,0.0002929418763051962,0.08811292939999095,40
CPF,102,76.44944041731391,0.00012114616364371407,0.09148799592481546,40
WAFD,102,77.75384308419716,0.0002980703008286054,0.0922140129779515,40
GABC,102,77.34127698324873,7.1494809412441955e-06,0.09042350066560093,40
THFF,101,75.73286384868241,3.8313849819356e-06,0.08818683543537875,40
TMP,100,75.44884277459172,0.0004824270002979156,0.08626241655753036,40
PFBC,100,74.38862824678799,0.00012290848841323924,0.08900769392930684,40
BOH,100,74.6807620693609,0.000745390881932531,0.08829452135945186,40
CHCO,100,76.53870862739578,6.791845027530681e-06,0.09020264800562619,40
IBCP,99,71.94072651145673,0.006221168934458073,0.07747440541354417,40
NBHC,99,73.92552163929541,0.00010141770600515529,0.08925517840251537,40
COLB,99,75.64487845123404,0.00016540711010271824,0.09104446825413892,40
SYBT,99,74.32806394157782,3.169470216245596e-06,0.08828496730276658,40
PGC,99,71.546130266749,0.0017395674218061742,0.08191989786978342,40
WASH,96,72.03606784550657,5.861187761105039e-06,0.08513872207306242,40
TRST,96,71.14286787202457,0.0036385017563519994,0.08315683435084611,40
FMBH,96,70.56622463976204,3.0565662903721875e-05,0.08208906623999475,40
FCBC,96,70.17974820419585,0.0011828730612931226,0.08025969951349597,40
CBSH,95,72.4614448926602,0.00022935233335196525,0.08523762566316054,40
SFBS,95,70.55592205114299,9.575620249453944e-05,0.08564758654778518,40
FHB,94,71.28889902109803,0.00010492146469973089,0.0863583672495579,40
BANF,93,68.40466414525244,0.0005807918287172967,0.08109352514971342,40
MTB,92,69.47129737833765,0.00045717124565896624,0.0752316692504533,40
SBSI,92,69.77003819531244,2.146764543068099e-06,0.08458987655664316,40
USB,91,67.98859149704641,0.0007822443074924929,0.06786061371424643,40
LKFN,91,67.69543156036559,5.3919878415838425e-06,0.08110445318503404,40
HAFC,89,65.00765347851613,0.00029132868770536703,0.07813768957052897,40
EVT,85,62.87150657411429,0.043758084991243965,9.274455630239342e-05,29
ZION,85,63.867726407017685,0.0006386117518117865,0.07322752326869217,40
TCBI,84,62.10630934401977,0.00045307756098640417,0.07436451352834986,40
BAC,84,63.42422582022785,0.024092700591727013,0.056491829578782383,54
PRK,82,60.30947504944882,0.00028979015728378176,0.07381911499850605,40
AROW,80,57.95180977741229,0.0030162296550683976,0.06526031913770437,40
NFBK,80,58.683738016887276,0.000291552828185011,0.06951891736425056,40
CCNE,79,57.87498801533986,0.003909056697736052,0.06974573120016554,40
WABC,79,59.02448198245411,1.8329613052126948e-06,0.07227395253645356,40
AOD,77,55.871991812441266,0.07550900523844795,9.045342689663607e-05,29
BSRR,75,53.96635514180205,0.0006023645507144815,0.061464677850475664,40
FFIC,74,54.17745377927641,5.539431296542969e-07,0.06668738922554261,40
FBK,72,52.60979939408335,6.97718354702751e-07,0.06538410664891349,40
SF,70,50.97983510830197,0.07644527160741048,0.03626756547613865,54
